id,selas,user,titles,sku,date,content
id,selas,user,titles,sku,date,content
1192475,690000,j***t,【京东超市】完美芦荟胶40g 3支装,3支装,2017-07-29 06:42:35,收货之前心里还很忐忑，怕会是假的，结果收到货之后完全放心了，打开试了一下，还是那个感觉，还是那个淡淡的香味，真的非常不错，相信前几天长得痘痘很快就会消失的，么么哒，京东自营真的特别让我放心，百分百真品，快递也特别特别给力，不仅速度快，快递员也特别负责，态度很好，这次购物非常满意！
1192475,690000,c***y,【京东超市】完美芦荟胶40g 3支装,3支装,2017-01-20 13:57:18,查了下，是正货。套装三个按查询是两家店。可以理解为跟ZHI消员（看店名可能两家店本来老板就一个人）拿货，然后卖出来。由于量多，ZHI消员可能级别高优惠也高，薄利走量&hellip;&hellip;
1192475,690000,村***9,【京东超市】完美芦荟胶40g 3支装,3支装,2017-05-02 08:43:02,国货精品，我一直用，保湿效果好，吸收快。
1192475,690000,GZ-郭伟,【京东超市】完美芦荟胶40g 3支装,2支装,2016-10-28 20:48:41,第一次购买芦荟胶，效果很好，我很喜欢，感谢京东，用完之后还会继续购买的，下一次还会继续购买的！感谢京东！
1192475,690000,小***9,【京东超市】完美芦荟胶40g 3支装,3支装,2016-12-10 21:57:37,已经买了好几次了，老婆用了十瓶了，一直是他们家的，老婆的手是油烫的，可怜我的老婆了，说起来都是泪啊
真想把老婆的手恢复到以前的样子，不知道芦荟胶能不能达到这个效果了&hellip;&hellip;
1192475,690000,j***u,【京东超市】完美芦荟胶40g 3支装,3支装,2017-07-23 19:05:54,我就搞不懂了，为嘛有那么多人说假的，真的，那么想买真的，你就去专卖店买嘛！多省事！我个人觉得，用着还不错！挺湿润的，味道也清凉。不刺激！冬天用他加大宝，效果杠杠的！保湿，抗冻，都不错！一直在用，没停过！
1192475,690000,j***e,【京东超市】完美芦荟胶40g 3支装,3支装,2017-05-20 13:37:32,第一次买格力，送货员，安装人员，拆机人员态度都不错，一个下午全部搞定两台，效率不错。静待使用一段后再来追加评论。。。。。。第一次买格力，送货员，安装人员，拆机人员态度都不错，一个下午全部搞定两台，效率不错。静待使用一段后再来追加评论。。。。。。第一次买格力，送货员，安装人员，拆机人员态度都不错，一个下午全部搞定两台，效率不错。静待使用一段后再来追加评论。。。。。。
1192475,690000,快***杜,【京东超市】完美芦荟胶40g 3支装,3支装,2017-05-16 08:51:04,芦荟胶消炎止痒效果不错。主要是给宝宝用的。宝宝肌肤娇嫩，用药用止痒的太刺激，用芦荟胶正好。还没有副作用。推荐京东自营，品质有保证。
